FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
15,3,9,6,3,3,24,3,1,0,1,2,0,10,2,Norman Powell
11,2,7,3,2,1,17,2,5,0,0,2,0,10,0,Immanuel Quickley
9,1,4,4,1,0,12,4,2,0,0,3,0,10,1,Immanuel Quickley
8,2,8,3,0,1,9,1,4,3,0,2,0,10,2,Immanuel Quickley
10,1,1,5,0,0,13,2,3,0,0,0,0,10,0,Toumani Camara
4,1,7,4,0,0,14,3,3,0,0,0,0,10,1,Toumani Camara
5,1,4,2,0,1,13,7,2,2,1,1,0,10,2,Toumani Camara
11,3,5,8,0,3,17,9,1,0,0,1,0,10,0,Jabari Smith Jr.
14,2,6,8,0,1,11,11,0,1,0,1,1,10,1,Jabari Smith Jr.
8,1,4,3,0,3,11,12,1,0,2,1,1,10,2,Jabari Smith Jr.
7,1,6,2,0,1,6,5,1,0,0,0,0,10,0,Kyshawn George
9,1,4,3,0,2,12,4,4,0,1,4,0,10,1,Kyshawn George
8,1,2,3,1,1,9,5,1,3,1,0,0,10,2,Kyshawn George
3,1,7,2,0,2,9,6,1,0,0,1,0,10,0,Rui Hachimura
6,2,3,1,1,1,12,3,5,0,0,3,0,10,1,Rui Hachimura
6,1,1,2,1,1,10,5,2,0,0,1,0,10,2,Rui Hachimura
1,3,1,0,1,0,3,5,0,1,0,0,0,10,0,Moussa Diabate
5,1,1,2,0,0,9,2,0,1,0,1,0,10,1,Moussa Diabate
5,2,1,4,2,0,7,1,0,1,2,0,0,10,2,Moussa Diabate
9,2,4,5,2,0,11,4,3,0,0,2,0,11,0,Amen Thompson
10,1,2,4,1,0,15,3,1,2,0,1,0,11,1,Amen Thompson
10,4,1,6,3,0,10,7,8,0,1,2,0,11,2,Amen Thompson
6,4,6,2,0,0,19,4,4,1,1,1,0,11,0,Trey Murphy III
12,1,4,6,1,1,7,3,1,0,0,3,0,11,1,Trey Murphy III
12,2,3,4,0,1,17,5,1,0,0,2,0,11,2,Trey Murphy III
3,1,2,2,0,0,8,0,5,1,0,2,0,11,0,Dyson Daniels
6,1,1,4,0,0,4,1,4,2,0,2,0,11,1,Dyson Daniels
6,1,1,4,0,0,4,1,3,1,0,2,0,11,2,Dyson Daniels
13,2,8,4,1,1,19,5,3,1,1,3,0,11,0,Norman Powell
11,8,4,6,7,2,25,6,2,2,1,4,0,11,1,Norman Powell
9,6,8,5,4,2,26,4,2,0,0,4,0,11,2,Norman Powell
3,1,5,2,1,1,18,6,5,1,0,5,0,11,0,Immanuel Quickley
11,2,2,4,1,0,11,2,1,1,0,1,0,11,1,Immanuel Quickley
14,4,7,5,2,0,11,4,6,0,0,1,0,11,2,Immanuel Quickley
14,2,2,4,1,2,5,6,2,0,1,1,0,11,0,Toumani Camara
7,1,9,2,0,0,9,5,4,0,0,0,0,11,1,Toumani Camara
4,2,4,3,1,0,9,10,3,3,0,0,0,11,2,Toumani Camara
9,2,6,3,2,3,10,8,1,0,2,0,0,11,0,Jabari Smith Jr.
12,3,4,6,3,0,11,2,0,0,0,3,0,11,1,Jabari Smith Jr.
7,2,8,3,2,1,15,8,3,1,2,1,0,11,2,Jabari Smith Jr.
