matchup,team,category,actual,sim_mean,sim_std,z_score,abs_z
LF da broccoli vs Team Menyo,LF da broccoli,TO,47.0,55.846,9.378821034650358,-0.9431889111987705,0.9431889111987705
LF da broccoli vs Team Menyo,Team Menyo,TO,54.0,48.664,8.54324903066743,0.6245867328513459,0.6245867328513459
LF da broccoli vs Team Menyo,LF da broccoli,DD,10.0,3.854,1.7345558509312982,3.5432701672305096,3.5432701672305096
LF da broccoli vs Team Menyo,Team Menyo,DD,6.0,4.616,1.7945874177648746,0.771207903443203,0.771207903443203
LF da broccoli vs Team Menyo,LF da broccoli,FG%,0.4577114427860697,0.48668626780807334,0.039274820079989226,-0.7377455826148143,0.7377455826148143
LF da broccoli vs Team Menyo,Team Menyo,FG%,0.4767025089605735,0.47120832330223217,0.041590618374303286,0.13210156215748614,0.13210156215748614
LF da broccoli vs Team Menyo,LF da broccoli,FT%,0.8181818181818182,0.7505989113057392,0.0666459429992312,1.0140588284099852,1.0140588284099852
LF da broccoli vs Team Menyo,Team Menyo,FT%,0.8198198198198198,0.7562255152374548,0.06771826518736354,0.9391012071323976,0.9391012071323976
LF da broccoli vs Team Menyo,LF da broccoli,3P%,0.3707865168539326,0.31817886045515686,0.052251233319753676,1.0068213333231948,1.0068213333231948
LF da broccoli vs Team Menyo,Team Menyo,3P%,0.3786407766990291,0.2749245433827706,0.05907832576718037,1.7555716410277105,1.7555716410277105
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,3PM,40.0,29.456,7.485991183537421,1.40849751776191,1.40849751776191
Team Boricua Squad vs KL2 LLC,KL2 LLC,3PM,58.0,45.08,8.648560573875864,1.4938902132485021,1.4938902132485021
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,PTS,343.0,339.632,40.86236136103737,0.08242303889983738,0.08242303889983738
Team Boricua Squad vs KL2 LLC,KL2 LLC,PTS,435.0,440.74,51.47088885962627,-0.11151934864879438,0.11151934864879438
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,REB,140.0,128.874,15.345817801603145,0.725018382457121,0.725018382457121
Team Boricua Squad vs KL2 LLC,KL2 LLC,REB,122.0,133.742,16.16141813084483,-0.7265451524696233,0.7265451524696233
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,AST,78.0,83.484,10.365796833818422,-0.5290476060758242,0.5290476060758242
Team Boricua Squad vs KL2 LLC,KL2 LLC,AST,69.0,81.326,13.398347808591923,-0.9199641758885921,0.9199641758885921
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,STL,24.0,23.54,6.670862013263353,0.06895660547098786,0.06895660547098786
Team Boricua Squad vs KL2 LLC,KL2 LLC,STL,30.0,24.728,5.8136061098082665,0.9068381827770354,0.9068381827770354
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,BLK,9.0,14.054,4.402168102196916,-1.1480706512497296,1.1480706512497296
Team Boricua Squad vs KL2 LLC,KL2 LLC,BLK,13.0,12.342,5.931023183229012,0.11094207182676466,0.11094207182676466
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,TO,39.0,38.638,7.678994465423191,0.04714158886687672,0.04714158886687672
Team Boricua Squad vs KL2 LLC,KL2 LLC,TO,57.0,47.28,9.097560112469717,1.0684183319302418,1.0684183319302418
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,DD,5.0,3.324,1.5030049900116764,1.1150994249107449,1.1150994249107449
Team Boricua Squad vs KL2 LLC,KL2 LLC,DD,5.0,3.938,1.4332327096462736,0.7409822514182675,0.7409822514182675
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,FG%,0.43859649122807015,0.44877552479333677,0.05040029752452965,-0.2019637594463111,0.2019637594463111
Team Boricua Squad vs KL2 LLC,KL2 LLC,FG%,0.4404432132963989,0.44323845489134706,0.04562510625602053,-0.061265426523347544,0.061265426523347544
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,FT%,0.7464788732394366,0.7081782705533605,0.08506554696112328,0.45024812105869755,0.45024812105869755
Team Boricua Squad vs KL2 LLC,KL2 LLC,FT%,0.8194444444444444,0.7402323187825585,0.0815431837589491,0.9714132072160192,0.9714132072160192
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,3P%,0.32,0.24791319257520608,0.06086209221659229,1.1844286780062672,1.1844286780062672
Team Boricua Squad vs KL2 LLC,KL2 LLC,3P%,0.37662337662337664,0.27941295449614406,0.05106975146497742,1.9034833602802526,1.9034833602802526
